Stock Quotes for ^GSPC,,,,Stock Quotes for ^IXIC,,,,Stock Quotes for ^DJI,,,,Stock Quotes for ^RUT,,,,Stock Quotes for ^VIX,,,,Stock Quotes for ^W5000,,
Date,Close,Volume,,Date,Close,Volume,,Date,Close,Volume,,Date,Close,Volume,,Date,Close,Volume,,Date,Close,Volume
2019/9/13,3007.389893,3520060000,,2019/9/13,8176.709961,1976770000,,2019/9/13,27219.51953,255260000,,2019/9/13,1578.140015,35200600,,2019/9/13,13.74,0,,2019/9/13,30764.5,0
2019/9/12,3009.570068,3791860000,,2019/9/12,8194.469727,2159260000,,2019/9/12,27182.44922,250010000,,2019/9/12,1575.069946,37918600,,2019/9/12,14.22,0,,2019/9/12,30785.63086,0
2019/9/11,3000.929932,3927550000,,2019/9/11,8169.680176,2310440000,,2019/9/11,27137.03906,272590000,,2019/9/11,1575.709961,39275500,,2019/9/11,14.61,0,,2019/9/11,30722.7207,0
2019/9/10,2979.389893,4390770000,,2019/9/10,8084.160156,2362860000,,2019/9/10,26909.42969,322340000,,2019/9/10,1541.609985,43907700,,2019/9/10,15.2,0,,2019/9/10,30467.94922,0
2019/9/9,2978.429932,4002890000,,2019/9/9,8087.439941,2172240000,,2019/9/9,26835.50977,273120000,,2019/9/9,1524.22998,40028900,,2019/9/9,15.27,0,,2019/9/9,30426.15039,0
2019/9/6,2978.709961,3208280000,,2019/9/6,8103.069824,1876380000,,2019/9/6,26797.46094,209700000,,2019/9/6,1505.170044,32082800,,2019/9/6,15,0,,2019/9/6,30398.67969,0
2019/9/5,2976,3890700000,,2019/9/5,8116.830078,2096300000,,2019/9/5,26728.15039,256670000,,2019/9/5,1510.75,38907000,,2019/9/5,16.27,0,,2019/9/5,30407.21094,0
2019/9/4,2937.780029,3163260000,,2019/9/4,7976.879883,1891300000,,2019/9/4,26355.4707,202710000,,2019/9/4,1484.76001,31632600,,2019/9/4,17.33,0,,2019/9/4,30014.28906,0
2019/9/3,2906.27002,3426790000,,2019/9/3,7874.160156,1936210000,,2019/9/3,26118.01953,223210000,,2019/9/3,1472.280029,34267900,,2019/9/3,19.66,0,,2019/9/3,29691.58008,0
2019/8/30,2926.459961,3008450000,,2019/8/30,7962.879883,1665840000,,2019/8/30,26403.2793,2190810000,,2019/8/30,1494.839966,30084500,,2019/8/30,18.98,0,,2019/8/30,29925.34961,0
2019/8/29,2924.580078,3176190000,,2019/8/29,7973.390137,1700840000,,2019/8/29,26362.25,208650000,,2019/8/29,1496.719971,31761900,,2019/8/29,17.879999,0,,2019/8/29,29911.06055,0
2019/8/28,2887.939941,3097420000,,2019/8/28,7856.879883,1656930000,,2019/8/28,26036.09961,207070000,,2019/8/28,1472.709961,30974200,,2019/8/28,19.35,0,,2019/8/28,29523.63086,0
2019/8/27,2869.159912,3533630000,,2019/8/27,7826.950195,1913760000,,2019/8/27,25777.90039,263530000,,2019/8/27,1456.040039,35336300,,2019/8/27,20.309999,0,,2019/8/27,29326.10938,0
2019/8/26,2878.379883,2857600000,,2019/8/26,7853.740234,1688860000,,2019/8/26,25898.83008,222780000,,2019/8/26,1476,28576000,,2019/8/26,19.32,0,,2019/8/26,29461.43945,0
2019/8/23,2847.110107,3937300000,,2019/8/23,7751.77002,2207070000,,2019/8/23,25628.90039,364260000,,2019/8/23,1459.48999,39373000,,2019/8/23,19.870001,0,,2019/8/23,29154.10938,0
2019/8/22,2922.949951,2890880000,,2019/8/22,7991.390137,1777630000,,2019/8/22,26252.24023,222810000,,2019/8/22,1506,28908800,,2019/8/22,16.68,0,,2019/8/22,29936.82031,0
2019/8/21,2924.429932,3011190000,,2019/8/21,8020.209961,1716370000,,2019/8/21,26202.73047,208790000,,2019/8/21,1509.849976,30111900,,2019/8/21,15.8,0,,2019/8/21,29961.00977,0
2019/8/20,2900.51001,3066300000,,2019/8/20,7948.560059,1747580000,,2019/8/20,25962.43945,238100000,,2019/8/20,1498.01001,30663000,,2019/8/20,17.5,0,,2019/8/20,29715.75,0
2019/8/19,2923.649902,3212880000,,2019/8/19,8002.810059,1934980000,,2019/8/19,26135.78906,252640000,,2019/8/19,1508.849976,32128800,,2019/8/19,16.879999,0,,2019/8/19,29938.93945,0
2019/8/16,2888.679932,3498150000,,2019/8/16,7895.990234,1995130000,,2019/8/16,25886.00977,276210000,,2019/8/16,1493.640015,34981500,,2019/8/16,18.469999,0,,2019/8/16,29597.93945,0
2019/8/15,2847.600098,4038000000,,2019/8/15,7766.620117,2182590000,,2019/8/15,25579.39063,332600000,,2019/8/15,1461.650024,40380000,,2019/8/15,21.18,0,,2019/8/15,29156.38086,0
2019/8/14,2840.600098,4312530000,,2019/8/14,7773.939941,2522870000,,2019/8/14,25479.41992,352250000,,2019/8/14,1467.52002,43125300,,2019/8/14,22.1,0,,2019/8/14,29107.05078,0
2019/8/13,2926.320068,3853600000,,2019/8/13,8016.359863,2346980000,,2019/8/13,26279.91016,308900000,,2019/8/13,1510.579956,38536000,,2019/8/13,17.52,0,,2019/8/13,29979.51953,0
2019/8/12,2882.699951,2851630000,,2019/8/12,7863.410156,2056360000,,2019/8/12,25896.43945,199390000,,2019/8/12,1495.900024,28516300,,2019/8/12,21.09,0,,2019/8/12,29561.09961,0
2019/8/9,2918.649902,3350640000,,2019/8/9,7959.140137,2224330000,,2019/8/9,26287.43945,240260000,,2019/8/9,1513.040039,33506400,,2019/8/9,17.969999,0,,2019/8/9,29945.65039,0
2019/8/8,2938.090088,4106370000,,2019/8/8,8039.160156,2415670000,,2019/8/8,26378.18945,282530000,,2019/8/8,1532.130005,41063700,,2019/8/8,16.91,0,,2019/8/8,30177.57031,0
2019/8/7,2883.97998,4491750000,,2019/8/7,7862.830078,2453230000,,2019/8/7,26007.07031,344790000,,2019/8/7,1500.689941,44917500,,2019/8/7,19.49,0,,2019/8/7,29605.83984,0
2019/8/6,2881.77002,4154240000,,2019/8/6,7833.27002,2201610000,,2019/8/6,26029.51953,318160000,,2019/8/6,1502.089966,41542400,,2019/8/6,20.17,0,,2019/8/6,29578.64063,0
2019/8/5,2844.73999,4513730000,,2019/8/5,7726.040039,2636740000,,2019/8/5,25717.74023,422240000,,2019/8/5,1487.410034,45137300,,2019/8/5,24.59,0,,2019/8/5,29213.53906,0
2019/8/2,2932.050049,3874660000,,2019/8/2,8004.069824,2252550000,,2019/8/2,26485.00977,327640000,,2019/8/2,1533.660034,38746600,,2019/8/2,17.610001,0,,2019/8/2,30120.89063,0
2019/8/1,2953.560059,4762300000,,2019/8/1,8111.120117,2792650000,,2019/8/1,26583.41992,386320000,,2019/8/1,1550.76001,47623000,,2019/8/1,17.870001,0,,2019/8/1,30376.89063,0
